"Month","Longitude","Latitude","Location","Crime.type"
"2015-01",-6.003289,54.551654," Salisbury Place","Anti-social behaviour"
"2015-01",-5.815976,54.731606," Milebush Park","Anti-social behaviour"
"2015-01",-6.393411,54.197876," College Square North","Anti-social behaviour"
"2015-01",-6.251798,54.859702," Staffa Drive","Anti-social behaviour"
"2015-01",-7.206893,54.622652," Killyclogher Road","Anti-social behaviour"
"2015-01",-5.915793,54.592416," Ravenhill Reach","Anti-social behaviour"
"2015-01",-7.322812,54.999402," Great James Street","Anti-social behaviour"
"2015-01",-5.95467,54.615677," Jamaica Road","Anti-social behaviour"
"2015-01",-6.707998,55.187033," Station Road","Anti-social behaviour"
"2015-01",-6.049408,54.513538," Antrim Street","Anti-social behaviour"
"2015-01",-5.709197,54.597064," Westland Drive","Anti-social behaviour"
"2015-01",-5.968582,54.600879," Watermouth Crescent","Anti-social behaviour"
"2015-01",-6.65232,55.203902," Dunluce Street","Anti-social behaviour"
"2015-01",-5.937312,54.61115," Kinnaird Terrace","Anti-social behaviour"
"2015-01",-5.693269,54.648005," Clandeboye Drive","Anti-social behaviour"
"2015-01",-6.658618,55.148312," Woodburn Crescent","Anti-social behaviour"
"2015-01",-5.672675,54.659957," Dufferin Avenue","Anti-social behaviour"
"2015-01",-6.36561,54.444859," Hillcrest Manor","Anti-social behaviour"
"2015-01",-5.70894,54.316006," Ballymote Park","Anti-social behaviour"
"2015-01",-5.957168,54.617112," Jamaica Road","Anti-social behaviour"
"2015-01",-7.184935,54.928131," Gulf Road","Anti-social behaviour"
"2015-01",-6.337027,54.182834," Mourne View Park","Anti-social behaviour"
"2015-01",-5.929328,54.598579," Castle Lane","Anti-social behaviour"
"2015-01",-5.905874,54.596648," Clandeboye Gardens","Anti-social behaviour"
"2015-01",-7.445047,54.254263," Main Street","Anti-social behaviour"
"2015-01",-6.358575,54.183336," Parkhead Crescent","Anti-social behaviour"
"2015-01",-5.70894,54.316006," Ballymote Park","Anti-social behaviour"
"2015-01",-5.834315,54.641895," Shore Road","Anti-social behaviour"
"2015-01",-7.135157,54.488791," Rarogan Road","Anti-social behaviour"
"2015-01",-5.956815,54.613656," Flax Street","Anti-social behaviour"
"2015-01",-7.206893,54.622652," Killyclogher Road","Anti-social behaviour"
"2015-01",-5.922422,54.64786," Whitewell Crescent","Anti-social behaviour"
"2015-01",-7.321754,54.594496," Clontarf Heights","Anti-social behaviour"
"2015-01",-5.862614,54.593564," Knockhill Park","Anti-social behaviour"
"2015-01",-5.961001,54.604544," Caledon Street","Anti-social behaviour"
"2015-01",-7.261995,54.594254," Deverney Park","Anti-social behaviour"
"2015-01",-5.997012,54.754176," Meadow Drive","Anti-social behaviour"
"2015-01",-5.927755,54.613692," Glenrosa Street","Anti-social behaviour"
"2015-01",-5.937312,54.61115," Kinnaird Terrace","Anti-social behaviour"
"2015-01",-6.025223,54.560289," Laurelbank","Anti-social behaviour"
"2015-01",-6.36286,54.439602," Clanrolla Park","Anti-social behaviour"
