"","Locality","Townland","Town"
"73",NA,"BALLYLEIGHERY UPPER","LIMAVADY"
"75","BALLYSCULLION","DUNCRUN","LIMAVADY"
"76",NA,"CLOONEY","LIMAVADY"
"89",NA,"BALLYSCULLION","LIMAVADY"
"92",NA,"OUGHTYMOYLE","LIMAVADY"
"99",NA,"DRUMAVALLY","LIMAVADY"
"226",NA,"BELLARENA","LIMAVADY"
"236","FRUITHILL","CARBULLION","LIMAVADY"
"310","FRUITHILL","ARTIKELLY","LIMAVADY"
"455",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"456",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"457",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"458",NA,"RATHBRADY MORE","LIMAVADY"
"461",NA,"RATHBRADY MORE","LIMAVADY"
"462",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"463",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"464",NA,"ENAGH","LIMAVADY"
"465",NA,"ENAGH","LIMAVADY"
"466",NA,"TERRYDRUM","LIMAVADY"
"467",NA,"KILLANE","LIMAVADY"
"468",NA,"ENAGH","LIMAVADY"
"472",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"473",NA,"COOLESSAN","LIMAVADY"
"475",NA,"COOLESSAN","LIMAVADY"
"477",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"479",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"481",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"485",NA,"RATHBRADY MORE","LIMAVADY"
"486",NA,"RATHBRADY MORE","LIMAVADY"
"488",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"497",NA,"CARRAN","LIMAVADY"
"498",NA,"COOLESSAN","LIMAVADY"
"499",NA,"DEER PARK","LIMAVADY"
"501",NA,"BOVALLY","LIMAVADY"
"503",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"508",NA,"GLEBE","LIMAVADY"
"509",NA,"COOLESSAN","LIMAVADY"
"510",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"511",NA,"DRUMRAMER","LIMAVADY"
"512",NA,"BOVALLY","LIMAVADY"
"513",NA,"RATHBRADY MORE","LIMAVADY"
"514",NA,"BOVALLY","LIMAVADY"
"515",NA,"BOVALLY","LIMAVADY"
"524",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"539",NA,"BOVALLY","LIMAVADY"
"739",NA,"LARGY","LIMAVADY"
"768",NA,"MULKEERAGH","LIMAVADY"
"770",NA,"MAGHERAMORE","LIMAVADY"
"793",NA,"CARRICK EAST","LIMAVADY"
"1337",NA,"RATHBRADY MORE","LIMAVADY"
"6614",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
