"Location","Month","Crime.type","Latitude","Longitude","Postcode"
"abbey park","2015-01","Anti-social behaviour",54.591375,-5.841562,"BT489DS"
"abbey road","2015-01","Anti-social behaviour",54.607699,-5.529113,"BT414SH"
"abbey street","2015-01","Anti-social behaviour",54.657207,-5.672662,"BT521DS"
"abbey street","2015-01","Anti-social behaviour",54.6581,-5.671433,"BT521DS"
"abbeycroft road","2015-01","Anti-social behaviour",54.680027,-5.906281,"BT370YL"
"abbeydale drive","2015-01","Anti-social behaviour",54.617953,-5.974605,"BT147HL"
"abercorn street","2015-01","Anti-social behaviour",54.586411,-5.93765,"BT96UD"
"academy road","2015-01","Anti-social behaviour",55.004664,-7.330553,"BT487LA"
"academy street","2015-01","Anti-social behaviour",54.603997,-5.927784,"BT12LS"
"agherton gardens","2015-01","Anti-social behaviour",55.077329,-6.50387,"BT536PR"
"agnew street","2015-01","Anti-social behaviour",54.85276,-5.81549,"BT401RF"
"ajax court","2015-01","Anti-social behaviour",54.722494,-6.215958,"BT414HH"
"alder lane","2015-01","Anti-social behaviour",54.450703,-5.765074,"BT247BF"
"alfred street","2015-01","Anti-social behaviour",54.595132,-5.927414,"BT28ED"
"altananam park","2015-01","Anti-social behaviour",55.197621,-6.259856,"BT546EE"
"altmore gardens","2015-01","Anti-social behaviour",54.174185,-6.351678,"BT358EX"
"anderson crescent","2015-01","Anti-social behaviour",55.042174,-6.929531,"BT472BY"
"ann street","2015-01","Anti-social behaviour",54.598958,-5.926802,"BT14EB"
"ann street","2015-01","Anti-social behaviour",55.202263,-6.247794,"BT14EB"
"annadale embankment","2015-01","Anti-social behaviour",54.577509,-5.927226,"BT73EF"
"annvale gardens","2015-01","Anti-social behaviour",54.253627,-6.692124,"BT602RS"
"annvale road","2015-01","Anti-social behaviour",54.249695,-6.68826,"BT602NY"
"antrim road","2015-01","Anti-social behaviour",54.668935,-5.954923,"BT390AH"
"antrim road","2015-01","Anti-social behaviour",54.676364,-5.970349,"BT390AH"
"antrim street","2015-01","Anti-social behaviour",54.513538,-6.049408,"BT281AU"
"apollo avenue","2015-01","Anti-social behaviour",55.193693,-6.646242,"BT568HH"
"archvale drive","2015-01","Anti-social behaviour",54.677033,-5.947632,"BT366LW"
"ard-na-maine","2015-01","Anti-social behaviour",54.889541,-6.346262,"BT421BY"
"ard ri park","2015-01","Anti-social behaviour",54.348652,-6.669715,"BT604JS"
"ardaluin court","2015-01","Anti-social behaviour",54.220608,-5.909288,"BT330RT"
"ardanlee","2015-01","Anti-social behaviour",55.046442,-7.278605,"BT488RR"
"ardcarn park","2015-01","Anti-social behaviour",54.592592,-5.823735,"BT57RQ"
"ardilea court","2015-01","Anti-social behaviour",54.614868,-5.951986,"BT147DT"
"ardmore park","2015-01","Anti-social behaviour",54.193271,-6.142014,"BT100JL"
"ardmore road","2015-01","Anti-social behaviour",54.497527,-6.422472,"BT666QP"
"ardnasaggart terrace","2015-01","Anti-social behaviour",54.537367,-6.701481,"BT714RG"
"ardnaskea park","2015-01","Anti-social behaviour",54.541613,-6.70201,"BT714SF"
"ardowen","2015-01","Anti-social behaviour",54.445905,-6.357243,"BT655EQ"
"ardpatrick avenue","2015-01","Anti-social behaviour",54.322215,-5.712699,"BT306JF"
"ardvanagh grange","2015-01","Anti-social behaviour",54.633592,-5.667909,"BT237XJ"
"argyll street","2015-01","Anti-social behaviour",54.737134,-6.215687,"BT412TW"
"armoy gardens","2015-01","Anti-social behaviour",54.662047,-5.913018,"BT379AU"
"arthur square","2015-01","Anti-social behaviour",54.598562,-5.927828,"BT14FD"
"artillery road","2015-01","Anti-social behaviour",55.137494,-6.660878,"BT521QL"
"ashbourne court","2015-01","Anti-social behaviour",54.589785,-7.319635,"BT716XF"
"ashfield gardens","2015-01","Anti-social behaviour",54.6234,-5.932232,"BT153FW"
"ashleigh manor","2015-01","Anti-social behaviour",54.580517,-5.946069,"BT96JY"
"ashley drive","2015-01","Anti-social behaviour",54.661553,-5.641398,"BT97BE"
"ashmore place","2015-01","Anti-social behaviour",54.600863,-5.953215,"BT132PU"
"ashmount gardens","2015-01","Anti-social behaviour",54.510546,-6.028906,"BT275BZ"
"ashton avenue","2015-01","Anti-social behaviour",54.563367,-5.992775,"BT100JR"
"asylum road","2015-01","Anti-social behaviour",55.001753,-7.325601,"BT487DL"
"austin drive","2015-01","Anti-social behaviour",54.354794,-6.411058,"BT622AR"
"ballee grove","2015-01","Anti-social behaviour",54.829442,-7.449785,"BT828RP"
"balloo walk","2015-01","Anti-social behaviour",54.641352,-5.656093,"BT197HL"
"ballyclare road","2015-01","Anti-social behaviour",54.691919,-5.969898,"BT390PE"
"ballyclare road","2015-01","Anti-social behaviour",54.692914,-5.971399,"BT390PE"
"ballycolman avenue","2015-01","Anti-social behaviour",54.823291,-7.468321,"BT829AG"
"ballycolman estate","2015-01","Anti-social behaviour",54.817282,-7.462457,"BT829EH"
"ballycolman estate","2015-01","Anti-social behaviour",54.818584,-7.460293,"BT829EH"
"ballycolman estate","2015-01","Anti-social behaviour",54.819119,-7.4594,"BT829EH"
"ballycolman road","2015-01","Anti-social behaviour",54.814019,-7.466078,"BT829PH"
"ballycruttle road","2015-01","Anti-social behaviour",54.306581,-5.63503,"BT307EW"
"ballygawley road","2015-01","Anti-social behaviour",54.503001,-6.805828,"BT717DF"
"ballygawley road","2015-01","Anti-social behaviour",54.503352,-6.780717,"BT717DF"
"ballygomartin road","2015-01","Anti-social behaviour",54.609228,-5.965442,"BT133NA"
"ballylintagh road","2015-01","Anti-social behaviour",55.072524,-6.653187,"BT266QQ"
"ballylucas road","2015-01","Anti-social behaviour",54.340963,-7.577581,"BT945FD"
"ballymote park","2015-01","Anti-social behaviour",54.316006,-5.70894,"BT306RW"
"ballymote park","2015-01","Anti-social behaviour",54.316277,-5.707588,"BT306RW"
"ballynahinch road","2015-01","Anti-social behaviour",54.507232,-6.037326,"BT88DN"
"ballyoran park","2015-01","Anti-social behaviour",54.433011,-6.453803,"BT621JW"
"ballyoran park","2015-01","Anti-social behaviour",54.433683,-6.456443,"BT621JW"
"ballyphilip road","2015-01","Anti-social behaviour",54.381476,-5.537864,"BT221RD"
"ballysaggart park","2015-01","Anti-social behaviour",54.505843,-6.786247,"BT701UJ"
"ballysillan park","2015-01","Anti-social behaviour",54.62974,-5.968119,"BT148HB"
"ballysillan road","2015-01","Anti-social behaviour",54.631045,-5.960744,"BT147QT"
"ballytrustan road","2015-01","Anti-social behaviour",54.333574,-5.626715,"BT307AQ"
