"Location","Month","Crime.type","Latitude","Longitude","Postcode"
"abbeycroftroad","2015-01","Anti-socialbehaviour","54.680027","-5.906281","BT370YL"
"abbeydaledrive","2015-01","Anti-socialbehaviour","54.617953","-5.974605","BT147HL"
"abbeypark","2015-01","Anti-socialbehaviour","54.591375","-5.841562","BT489DS"
"abbeyroad","2015-01","Anti-socialbehaviour","54.607699","-5.529113","BT414SH"
"abbeystreet","2015-01","Anti-socialbehaviour","54.657207","-5.672662","BT521DS"
"abbeystreet","2015-01","Anti-socialbehaviour","54.6581","-5.671433","BT521DS"
"abercornstreet","2015-01","Anti-socialbehaviour","54.586411","-5.93765","BT96UD"
"academyroad","2015-01","Anti-socialbehaviour","55.004664","-7.330553","BT487LA"
"academystreet","2015-01","Anti-socialbehaviour","54.603997","-5.927784","BT12LS"
"aghertongardens","2015-01","Anti-socialbehaviour","55.077329","-6.50387","BT536PR"
"agnewstreet","2015-01","Anti-socialbehaviour","54.85276","-5.81549","BT401RF"
"ajaxcourt","2015-01","Anti-socialbehaviour","54.722494","-6.215958","BT414HH"
"alderlane","2015-01","Anti-socialbehaviour","54.450703","-5.765074","BT247BF"
"alfredstreet","2015-01","Anti-socialbehaviour","54.595132","-5.927414","BT28ED"
"altananampark","2015-01","Anti-socialbehaviour","55.197621","-6.259856","BT546EE"
"altmoregardens","2015-01","Anti-socialbehaviour","54.174185","-6.351678","BT358EX"
"andersoncrescent","2015-01","Anti-socialbehaviour","55.042174","-6.929531","BT472BY"
"annadaleembankment","2015-01","Anti-socialbehaviour","54.577509","-5.927226","BT73EF"
"annstreet","2015-01","Anti-socialbehaviour","54.598958","-5.926802","BT14EB"
"annstreet","2015-01","Anti-socialbehaviour","55.202263","-6.247794","BT14EB"
"annvalegardens","2015-01","Anti-socialbehaviour","54.253627","-6.692124","BT602RS"
"annvaleroad","2015-01","Anti-socialbehaviour","54.249695","-6.68826","BT602NY"
"antrimroad","2015-01","Anti-socialbehaviour","54.668935","-5.954923","BT390AH"
"antrimroad","2015-01","Anti-socialbehaviour","54.676364","-5.970349","BT390AH"
"antrimstreet","2015-01","Anti-socialbehaviour","54.513538","-6.049408","BT281AU"
"apolloavenue","2015-01","Anti-socialbehaviour","55.193693","-6.646242","BT568HH"
"archvaledrive","2015-01","Anti-socialbehaviour","54.677033","-5.947632","BT366LW"
"ard-na-maine","2015-01","Anti-socialbehaviour","54.889541","-6.346262","BT421BY"
"ardaluincourt","2015-01","Anti-socialbehaviour","54.220608","-5.909288","BT330RT"
"ardanlee","2015-01","Anti-socialbehaviour","55.046442","-7.278605","BT488RR"
"ardcarnpark","2015-01","Anti-socialbehaviour","54.592592","-5.823735","BT57RQ"
"ardileacourt","2015-01","Anti-socialbehaviour","54.614868","-5.951986","BT147DT"
"ardmorepark","2015-01","Anti-socialbehaviour","54.193271","-6.142014","BT100JL"
"ardmoreroad","2015-01","Anti-socialbehaviour","54.497527","-6.422472","BT666QP"
"ardnasaggartterrace","2015-01","Anti-socialbehaviour","54.537367","-6.701481","BT714RG"
"ardnaskeapark","2015-01","Anti-socialbehaviour","54.541613","-6.70201","BT714SF"
"ardowen","2015-01","Anti-socialbehaviour","54.445905","-6.357243","BT655EQ"
"ardpatrickavenue","2015-01","Anti-socialbehaviour","54.322215","-5.712699","BT306JF"
"ardripark","2015-01","Anti-socialbehaviour","54.348652","-6.669715","BT604JS"
"ardvanaghgrange","2015-01","Anti-socialbehaviour","54.633592","-5.667909","BT237XJ"
"argyllstreet","2015-01","Anti-socialbehaviour","54.737134","-6.215687","BT412TW"
"armoygardens","2015-01","Anti-socialbehaviour","54.662047","-5.913018","BT379AU"
"arthursquare","2015-01","Anti-socialbehaviour","54.598562","-5.927828","BT14FD"
"artilleryroad","2015-01","Anti-socialbehaviour","55.137494","-6.660878","BT521QL"
